index,variance,mean,std,max,min,range
195,3.0780643e-07,0.0004353334,0.00055480306,0.009338379,4.23193e-06,0.009334147
260,2.9463496e-07,0.00054560666,0.00054280285,0.0039367676,1.4781952e-05,0.0039219856
243,2.9403233e-07,0.00043653138,0.0005422475,0.007171631,3.4868717e-06,0.007168144
258,2.7952424e-07,0.0003697146,0.00052870053,0.0058898926,1.7434359e-06,0.005888149
221,2.7645962e-07,0.00022043922,0.0005257943,0.00970459,1.8849969e-06,0.009702705
244,2.6264678e-07,0.0005175314,0.00051249075,0.0039978027,1.2934208e-05,0.0039848685
47,2.5961933e-07,0.00026431365,0.00050952856,0.0063476562,2.0116568e-06,0.0063456446
194,2.551173e-07,0.00041288088,0.0005050914,0.0056152344,1.9520521e-06,0.0056132823
189,2.5431729e-07,0.00021769112,0.00050429883,0.012390137,2.9355288e-06,0.012387201
248,2.415268e-07,0.00036371005,0.00049145374,0.0076293945,4.172325e-06,0.007625222
179,2.401117e-07,0.00045628377,0.00049001194,0.0038757324,2.6077032e-06,0.0038731247
211,2.3120515e-07,0.00040633598,0.00048083797,0.003479004,3.2633543e-06,0.0034757406
164,2.311034e-07,0.00047774418,0.00048073215,0.0032653809,1.6570091e-05,0.0032488108
163,2.3086027e-07,0.00041537182,0.0004804792,0.005645752,3.7103891e-06,0.0056420416
9,2.2147059e-07,0.00036593244,0.0004706066,0.0031433105,1.692772e-05,0.0031263828
131,2.173462e-07,0.00032626113,0.00046620404,0.006286621,3.3825636e-06,0.0062832385
210,2.103047e-07,0.00038077572,0.0004585899,0.0033721924,2.577901e-06,0.0033696145
255,2.0509187e-07,0.0002751038,0.0004528707,0.0049743652,2.488494e-06,0.0049718767
275,1.9444131e-07,0.00037380273,0.000440955,0.0048828125,2.9057264e-06,0.004879907
147,1.9343005e-07,0.00036678227,0.00043980684,0.005554199,3.2633543e-06,0.005550936
180,1.7865527e-07,0.00049087725,0.00042267633,0.0028533936,1.347065e-05,0.002839923
